As Of,NAV per Share
2019-03-04,57.73
2019-03-01,58.26
2019-02-28,58.09
2019-02-27,58.24
2019-02-26,58.09
2019-02-25,58.21
2019-02-22,57.87
2019-02-21,57.28
2019-02-20,57.52
2019-02-19,57.67
2019-02-15,57.63
2019-02-14,57.35
2019-02-13,57.25
2019-02-12,57.29
2019-02-11,56.79
2019-02-08,56.69
2019-02-07,56.51
2019-02-06,57.00
2019-02-05,56.77
2019-02-04,56.52
2019-02-01,56.27
2019-01-31,56.00
2019-01-30,55.51
2019-01-29,54.85
2019-01-28,55.08
2019-01-25,55.42
2019-01-24,54.86
2019-01-23,54.50
2019-01-22,54.45
2019-01-18,55.05
2019-01-17,54.72
2019-01-16,54.42
2019-01-15,54.46
2019-01-14,54.08
2019-01-11,54.38
2019-01-10,54.26
2019-01-09,54.06
2019-01-08,53.67
2019-01-07,53.30
2019-01-04,52.52
2019-01-03,51.43
2019-01-02,52.04
2018-12-31,52.05
2018-12-28,51.87
2018-12-27,51.73
2018-12-26,51.52
2018-12-24,50.27
2018-12-21,50.76
2018-12-20,51.54
2018-12-19,52.08
2018-12-18,52.81
2018-12-17,53.19
2018-12-14,54.09
2018-12-13,54.57
2018-12-12,54.99
2018-12-11,54.54
2018-12-10,54.41
2018-12-07,54.26
2018-12-06,55.06
2018-12-04,55.07
2018-12-03,56.13
2018-11-30,56.43
2018-11-29,56.22
2018-11-28,56.20
2018-11-27,55.29
2018-11-26,55.39
2018-11-23,54.74
2018-11-21,54.73
2018-11-20,54.25
2018-11-19,54.68
2018-11-16,55.88
2018-11-15,55.86
2018-11-14,55.43
2018-11-13,55.55
2018-11-12,55.55
2018-11-09,56.45
2018-11-08,57.02
2018-11-07,57.26
2018-11-06,56.39
2018-11-05,56.25
2018-11-02,56.53
2018-11-01,56.58
2018-10-31,55.86
2018-10-30,55.11
2018-10-29,54.40
2018-10-26,54.80
2018-10-25,55.31
2018-10-24,54.81
2018-10-23,56.16
2018-10-22,56.35
2018-10-19,56.22
2018-10-18,56.80
2018-10-17,57.41
2018-10-16,57.43
2018-10-15,56.46
2018-10-12,56.44
2018-10-11,55.73
2018-10-10,56.10
2018-10-09,57.25
2018-10-08,57.36
2018-10-05,57.95
2018-10-04,58.37
2018-10-03,59.21
2018-10-02,59.12
2018-10-01,59.43
2018-09-28,59.69
2018-09-27,59.67
2018-09-26,59.50
2018-09-25,59.68
2018-09-24,59.51
2018-09-21,59.37
2018-09-20,59.53
2018-09-19,59.22
2018-09-18,59.33
2018-09-17,59.12
2018-09-14,59.74
2018-09-13,59.45
2018-09-12,59.34
2018-09-11,59.11
2018-09-10,59.10
2018-09-07,58.88
2018-09-06,58.92
2018-09-05,59.17
2018-09-04,59.85
2018-08-31,59.82
2018-08-30,59.71
2018-08-29,59.92
2018-08-28,59.68
2018-08-27,59.62
2018-08-24,59.24
2018-08-23,58.82
2018-08-22,58.75
2018-08-21,58.37
2018-08-20,57.93
2018-08-17,57.83
2018-08-16,57.81
2018-08-15,57.78
2018-08-14,58.34
2018-08-13,58.36
2018-08-10,58.51
2018-08-09,59.03
2018-08-08,58.95
2018-08-07,59.06
2018-08-06,58.64
2018-08-03,58.29
2018-08-02,58.45
2018-08-01,57.91
2018-07-31,57.82
2018-07-30,57.66
2018-07-27,58.32
2018-07-26,58.90
2018-07-25,58.64
2018-07-24,58.31
2018-07-23,58.76
2018-07-20,58.80
2018-07-19,58.90
2018-07-18,58.99
2018-07-17,58.99
2018-07-16,58.67
2018-07-13,58.83
2018-07-12,58.92
2018-07-11,58.42
2018-07-10,58.69
2018-07-09,58.69
2018-07-06,58.44
2018-07-05,57.88
2018-07-03,57.57
2018-07-02,57.76
2018-06-29,57.75
2018-06-28,57.65
2018-06-27,57.44
2018-06-26,58.05
2018-06-25,57.98
2018-06-22,58.98
2018-06-21,59.20
2018-06-20,59.79
2018-06-19,59.40
2018-06-18,59.68
2018-06-15,59.59
2018-06-14,59.58
2018-06-13,59.33
2018-06-12,59.30
2018-06-11,58.99
2018-06-08,58.82
2018-06-07,58.73
2018-06-06,59.10
2018-06-05,58.69
2018-06-04,58.50
2018-06-01,58.30
2018-05-31,57.96
2018-05-30,58.23
2018-05-29,57.81
2018-05-25,57.89
2018-05-24,57.87
2018-05-23,57.70
2018-05-22,57.68
2018-05-21,57.76
2018-05-18,57.71
2018-05-17,57.77
2018-05-16,57.79
2018-05-15,57.49
2018-05-14,57.68
2018-05-11,57.68
2018-05-10,57.73
2018-05-09,57.51
2018-05-08,57.13
2018-05-07,57.11
2018-05-04,56.65
2018-05-03,56.11
2018-05-02,56.10
2018-05-01,56.06
2018-04-30,56.01
2018-04-27,56.19
2018-04-26,56.36
2018-04-25,55.74
2018-04-24,55.94
2018-04-23,56.43
2018-04-20,56.60
2018-04-19,56.85
2018-04-18,57.33
2018-04-17,57.17
2018-04-16,56.55
2018-04-13,56.44
2018-04-12,56.68
2018-04-11,56.31
2018-04-10,56.28
2018-04-09,55.51
2018-04-06,55.37
2018-04-05,56.12
2018-04-04,55.93
2018-04-03,55.51
2018-04-02,55.25
2018-03-29,56.28
2018-03-28,55.81
2018-03-27,56.19
2018-03-26,57.16
2018-03-23,56.38
2018-03-22,57.19
2018-03-21,58.06
2018-03-20,57.90
2018-03-19,57.83
2018-03-16,58.18
2018-03-15,58.09
2018-03-14,58.21
2018-03-13,58.18
2018-03-12,58.52
2018-03-09,58.04
2018-03-08,57.56
2018-03-07,57.60
2018-03-06,57.25
2018-03-05,56.87
2018-03-02,56.37
2018-03-01,55.98
2018-02-28,56.50
2018-02-27,56.67
2018-02-26,56.74
2018-02-23,56.42
2018-02-22,55.88
2018-02-21,56.03
2018-02-20,56.08
2018-02-16,55.99
2018-02-15,55.75
2018-02-14,55.28
2018-02-13,54.62
2018-02-12,54.53
2018-02-09,54.14
2018-02-08,53.97
2018-02-07,55.15
2018-02-06,55.32
2018-02-05,55.11
2018-02-02,56.03
2018-02-01,56.73
2018-01-31,57.00
2018-01-30,56.97
2018-01-29,57.36
2018-01-26,57.63
2018-01-25,56.97
2018-01-24,57.26
2018-01-23,57.49
2018-01-22,57.18
2018-01-19,56.86
2018-01-18,56.74
2018-01-17,56.66
2018-01-16,56.26
2018-01-12,56.40
2018-01-11,56.21
2018-01-10,55.93
2018-01-09,56.05
2018-01-08,56.19
2018-01-05,55.97
2018-01-04,55.79
2018-01-03,55.63
2018-01-02,55.31
2017-12-29,54.91
2017-12-28,54.97
2017-12-27,54.93
2017-12-26,54.91
2017-12-22,55.06
2017-12-21,55.17
2017-12-20,55.43
2017-12-19,55.32
2017-12-18,55.38
2017-12-15,54.92
2017-12-14,54.67
2017-12-13,54.77
2017-12-12,54.60
2017-12-11,54.66
2017-12-08,54.51
2017-12-07,54.37
2017-12-06,54.14
2017-12-05,54.20
2017-12-04,54.28
2017-12-01,54.78
2017-11-30,55.23
2017-11-29,55.06
2017-11-28,55.76
2017-11-27,55.61
2017-11-24,55.91
2017-11-22,55.85
2017-11-21,55.90
2017-11-20,55.58
2017-11-17,55.41
2017-11-16,55.32
2017-11-15,54.91
2017-11-14,55.05
2017-11-13,55.23
2017-11-10,55.13
2017-11-09,55.09
2017-11-08,55.36
2017-11-07,55.16
2017-11-06,55.57
2017-11-03,55.29
2017-11-02,55.14
2017-11-01,55.21
2017-10-31,55.38
2017-10-30,54.98
2017-10-27,54.95
2017-10-26,54.66
2017-10-25,54.61
2017-10-24,54.87
2017-10-23,54.89
2017-10-20,54.98
2017-10-19,54.85
2017-10-18,55.00
2017-10-17,54.83
2017-10-16,54.82
2017-10-13,54.84
2017-10-12,54.83
2017-10-11,54.91
2017-10-10,54.93
2017-10-09,54.93
2017-10-06,55.03
2017-10-05,54.95
2017-10-04,54.84
2017-10-03,54.70
2017-10-02,54.53
2017-09-29,54.36
2017-09-28,54.09
2017-09-27,54.03
2017-09-26,53.62
2017-09-25,53.64
2017-09-22,54.01
2017-09-21,53.99
2017-09-20,54.03
2017-09-19,54.13
2017-09-18,54.21
2017-09-15,53.96
2017-09-14,53.84
2017-09-13,53.82
2017-09-12,53.81
2017-09-11,53.78
2017-09-08,53.34
2017-09-07,53.45
2017-09-06,53.38
2017-09-05,53.37
2017-09-01,53.63
2017-08-31,53.57
2017-08-30,53.29
2017-08-29,52.99
2017-08-28,52.91
2017-08-25,52.82
2017-08-24,52.92
2017-08-23,52.90
2017-08-22,52.87
2017-08-21,52.48
2017-08-18,52.51
2017-08-17,52.46
2017-08-16,53.01
2017-08-15,52.88
2017-08-14,52.93
2017-08-11,52.55
2017-08-10,52.36
2017-08-09,53.11
2017-08-08,53.39
2017-08-07,53.49
2017-08-04,53.27
2017-08-03,53.25
2017-08-02,53.36
2017-08-01,53.59
2017-07-31,53.65
2017-07-28,53.86
2017-07-27,53.88
2017-07-26,54.14
2017-07-25,53.96
2017-07-24,53.90
2017-07-21,53.74
2017-07-20,53.84
2017-07-19,53.75
2017-07-18,53.52
2017-07-17,53.40
2017-07-14,53.43
2017-07-13,53.14
2017-07-12,53.20
2017-07-11,52.85
2017-07-10,52.60
2017-07-07,52.40
2017-07-06,52.07
2017-07-05,52.39
2017-07-03,52.27
2017-06-30,52.37
2017-06-29,52.42
2017-06-28,52.93
2017-06-27,52.67
2017-06-26,53.03
2017-06-23,53.17
2017-06-22,53.16
2017-06-21,52.96
2017-06-20,52.70
2017-06-19,52.98
2017-06-16,52.52
2017-06-15,52.54
2017-06-14,52.78
2017-06-13,52.98
2017-06-12,52.67
2017-06-09,52.82
2017-06-08,53.43
2017-06-07,53.18
2017-06-06,53.08
2017-06-05,53.02
2017-06-02,53.03
2017-06-01,52.85
2017-05-31,52.51
2017-05-30,52.49
2017-05-26,52.51
2017-05-25,52.47
2017-05-24,52.37
2017-05-23,52.23
2017-05-22,52.28
2017-05-19,52.03
2017-05-18,51.76
2017-05-17,51.57
2017-05-16,52.47
2017-05-15,52.29
2017-05-12,52.02
2017-05-11,52.02
2017-05-10,52.09
2017-05-09,51.82
2017-05-08,51.68
2017-05-05,51.81
2017-05-04,51.53
2017-05-03,51.64
2017-05-02,51.75
2017-05-01,51.90
2017-04-28,51.73
2017-04-27,51.91
2017-04-26,51.74
2017-04-25,51.74
2017-04-24,51.44
2017-04-21,51.08
2017-04-20,51.17
2017-04-19,50.92
2017-04-18,50.76
2017-04-17,50.76
2017-04-13,50.58
2017-04-12,50.76
2017-04-11,51.04
2017-04-10,51.09
2017-04-07,51.09
2017-04-06,51.01
2017-04-05,50.89
2017-04-04,51.06
2017-04-03,51.07
2017-03-31,51.21
2017-03-30,51.18
2017-03-29,51.05
2017-03-28,50.92
2017-03-27,50.74
2017-03-24,50.64
2017-03-23,50.49
2017-03-22,50.49
2017-03-21,50.33
2017-03-20,50.96
2017-03-17,50.86
2017-03-16,50.90
2017-03-15,50.90
2017-03-14,50.62
2017-03-13,50.82
2017-03-10,50.67
2017-03-09,50.61
2017-03-08,50.67
2017-03-07,50.74
2017-03-06,50.73
2017-03-03,50.82
2017-03-02,50.77
2017-03-01,51.07
2017-02-28,50.81
2017-02-27,51.07
2017-02-24,50.86
2017-02-23,50.78
2017-02-22,51.08
2017-02-21,51.17
2017-02-17,50.82
2017-02-16,50.80
2017-02-15,51.06
2017-02-14,50.98
2017-02-13,50.93
2017-02-10,50.88
2017-02-09,50.81
2017-02-08,50.77
2017-02-07,50.61
2017-02-06,50.65
2017-02-03,50.62
2017-02-02,50.37
2017-02-01,50.23
2017-01-31,50.05
2017-01-30,50.10
2017-01-27,50.34
2017-01-26,50.16
2017-01-25,50.34
2017-01-24,50.09
2017-01-23,49.68
2017-01-20,49.70
2017-01-19,49.60
2017-01-18,49.69
2017-01-17,49.52
2017-01-13,49.75
2017-01-12,49.61
2017-01-11,49.74
2017-01-10,49.66
2017-01-09,49.60
2017-01-06,49.37
2017-01-05,49.14
2017-01-04,49.17
2017-01-03,48.80
2016-12-30,48.75
2016-12-29,49.02
2016-12-28,48.98
2016-12-27,49.47
2016-12-23,49.12
2016-12-22,48.94
2016-12-21,49.21
2016-12-20,49.27
2016-12-19,48.99
2016-12-16,48.84
2016-12-15,48.99
2016-12-14,48.89
2016-12-13,48.86
2016-12-12,48.61
2016-12-09,48.87
2016-12-08,48.95
2016-12-07,48.74
2016-12-06,48.43
2016-12-05,48.21
2016-12-02,47.76
2016-12-01,47.65
